id;user_id;name;dob;national_id;profile_image_url;email_address;phone_number;assignment_status;entity_status;creation_date;modified_date
1;20540;phooey dishearten boohoo;2023-10-25;provided inbox ha;menorah stream;gosh;sorrow;UNASSIGNED;ACTIVE;2023-10-25T15:43:00;2023-10-26T02:44:26
2;24979;hm victimise;2023-10-26;paltry where basketball;chilly from;fence;cherish;ASSIGNED;INACTIVE;2023-10-25T16:26:24;2023-10-26T13:40:32
3;32107;amid under yahoo;2023-10-25;reamer;down per;ack original;correspond pedestrianise ha;UNASSIGNED;INACTIVE;2023-10-26T12:06:21;2023-10-25T22:59:34
4;25802;sedately uh-huh;2023-10-26;station although excluding;veneer jaggedly;lynx;before because;ASSIGNED;INACTIVE;2023-10-25T22:56:12;2023-10-25T19:32:03
5;5197;even than identification;2023-10-25;gladly;rigid;aha meh;what brr;UNASSIGNED;INACTIVE;2023-10-26T03:48:52;2023-10-26T04:34:47
6;3879;until ack boo;2023-10-25;incense;upright;spoon what;sympathetically qua juggle;ASSIGNED;ACTIVE;2023-10-25T23:02:48;2023-10-26T05:27:51
7;13052;atrium finger;2023-10-26;relate;amid minus coaxingly;flavour profuse slowly;focalise;UNASSIGNED;ACTIVE;2023-10-25T19:38:17;2023-10-26T14:20:41
8;27062;an furthermore;2023-10-26;past stud modulo;yippee for opposite;for outgun pollute;even whose;UNASSIGNED;INACTIVE;2023-10-25T19:05:48;2023-10-25T15:06:29
9;5039;once an blame;2023-10-26;since;oh cumbersome frankly;once;early frantically;UNASSIGNED;ACTIVE;2023-10-25T21:46:17;2023-10-25T21:09:19
10;690;sparkling ack;2023-10-26;dependent;ha now how;gah zesty;whether gosh if;ASSIGNED;ACTIVE;2023-10-25T20:20:40;2023-10-25T20:13:25
