id;user_id;name;role_description;dob;national_id;profile_image_url;email_address;phone_number;entity_status;creation_date;modified_date
1;14351;gash furthermore;afore huzzah;2023-10-25;audit boohoo weighty;gadzooks gadzooks taut;rebut;boastfully soupy;INACTIVE;2023-10-25T18:32:40;2023-10-26T10:18:11
2;16116;woot;sadly ha yet;2023-10-25;crowded sweet;pish cultured;whenever important nor;italicize;ACTIVE;2023-10-26T09:16:47;2023-10-25T23:05:50
3;5452;armadillo;whoa;2023-10-26;judicious unsightly;what;whoever instead;muss elide menace;ACTIVE;2023-10-26T10:35:42;2023-10-26T11:04:05
4;31097;whoa brisket;less throughout and;2023-10-26;than;resuscitate from;spar;regularly flat damaged;INACTIVE;2023-10-25T17:33:45;2023-10-26T11:50:04
5;29660;far whether;shaft better;2023-10-25;aside sandbar;interlace;trouble;considering blah;ACTIVE;2023-10-25T20:30:09;2023-10-25T22:17:48
6;13819;upright;incidentally at yuck;2023-10-25;elegantly another;horrify whose porthole;ultimately;sometimes or;ACTIVE;2023-10-26T06:49:15;2023-10-25T19:06:05
7;21925;cartoon;ack pastel where;2023-10-26;outlaw leafy;prairie unfortunate;anti;upward testy;ACTIVE;2023-10-25T22:54:45;2023-10-25T22:43:08
8;27413;usually;disguised what;2023-10-25;but blocker integral;mindless hemisphere huzzah;now twinkle;above than;INACTIVE;2023-10-26T06:01:49;2023-10-25T18:35:25
9;5597;flounce whether;boohoo guess;2023-10-26;fooey;outfielder nifty solidly;slaw handy soon;for;ACTIVE;2023-10-26T00:07:39;2023-10-26T08:22:42
10;12529;tag so;ha yawningly;2023-10-26;connote angel;aid retrace drat;notarise pfft;ew however down;INACTIVE;2023-10-26T02:32:12;2023-10-25T16:36:20
